3 6
cusA b0575
pheP b0576
ybdG b0577
nfnB b0578
ybdF b0579
ybdJ b0580
ybdK b0581
hokE b4415
entD b0583
fepA b0584
fes b0585
ybdZ b4511
entF b0586
fepE b0587
fepC b0588
fepG b0589
fepD b0590
ybdA b0591
fepB b0592
entC b0593
entE b0594
entB b0595
entA b0596
ybdB b0597
cstA b0598
ybdD b4512
ybdH b0599
ybdL b0600
ybdM b0601
ybdN b0602
ybdO b0603
dsbG b0604
ahpC b0605
ahpF b0606
uspG b0607
ybdR b0608
rnk b0610
rna b0611
citT b0612
citG b0613
citX b0614
citF b0615
citE b0616
citD b0617
citC b0618
citA b0619
citB b0620
dcuC b0621
dcuC b0621
dcuC b0621
crcA b0622
cspE b0623
crcB b0624
ybeH b0625
ybeM b0626
tatE b0627
lipA b0628
ybeF b0629
lipB b0630
ybeD b0631
dacA b0632
rlpA b0633
mrdB b0634
mrdA b0635
ybeA b0636
ybeB b0637
cobC b0638
nadD b0639
holA b0640
rlpB b0641
leuS b0642
ybeL b0643
ybeQ b0644
ybeR b0645
djlB b0646
ybeT b0647
ybeU b0648
djlC b0649
hscC b0650
rihA b0651
gltL b0652
gltK b0653
gltJ b0654
gltI b0655
lnt b0657
ybeX b0658
ybeY b0659
ybeZ b0660
miaB b0661
ubiF b0662
glnX b0664
glnV b0665
metU b0666
glnW b0668
glnU b0670
leuW b0672
metT b0673
asnB b0674
nagD b0675
nagC b0676
nagA b0677
nagB b0678
nagE b0679
glnS b0680
ybfM b0681
ybfN b0682
fur b0683
fldA b0684
ybfE b0685
ybfF b0686
seqA b0687
pgm b0688
ybfP b0689
ybfG b0690
ybfH b0691
potE b0692
speF b0693
kdpE b0694
kdpD b0695
kdpC b0696
kdpB b0697
kdpA b0698
kdpF b4513
ybfA b0699
rhsC b0700
ybfB b0702
ybfO b0703
ybfC b0704
ybfQ b4514
ybfL b0705
ybfD b0706
ybgA b0707
phr b0708
ybgH b0709
ybgI b0710
ybgJ b0711
ybgK b0712
ybgL b0713
nei b0714
abrB b0715
ybgO b0716
ybgP b0717
ybgQ b0718
ybgD b0719
gltA b0720
sdhC b0721
sdhD b0722
sdhA b0723
sdhB b0724
sucA b0726
sucB b0727
sucC b0728
sucD b0729
mngR b0730
mngA b0731
mngB b0732
cydA b0733
cydB b0734
ybgT b4515
ybgE b0735
ybgC b0736
tolQ b0737
tolR b0738
tolA b0739
tolB b0740
pal b0741
ybgF b0742
lysT b0743
valT b0744
lysW b0745
valZ b0746
lysY b0747
lysZ b0748
lysQ b0749
nadA b0750
pnuC b0751
zitB b0752
ybgS b0753
aroG b0754
gpmA b0755
galM b0756
galK b0757
galT b0758
galE b0759
modF b0760
modE b0761
ybhT b0762
modA b0763
modB b0764
modC b0765
ybhA b0766
ybhE b0767
ybhD b0768
ybhH b0769
ybhI b0770
ybhJ b0771
ybhC b0772
ybhB b0773
bioA b0774
bioB b0775
bioF b0776
bioC b0777
bioD b0778
uvrB b0779
ybhK b0780
moaA b0781
moaB b0782
moaC b0783
moaD b0784
moaE b0785
ybhL b0786
ybhM b0787
ybhN b0788
ybhO b0789
ybhP b0790
ybhQ b0791
ybhR b0792
ybhS b0793
ybhF b0794
ybhG b0795
ybiH b0796
rhlE b0797
ybiA b0798
dinG b0799
ybiB b0800
ybiC b0801
ybiJ b0802
ybiI b0803
ybiX b0804
fiu b0805
ybiM b0806
ybiN b0807
ybiO b0808
glnQ b0809
glnP b0810
glnH b0811
dps b0812
rhtA b0813
ompX b0814
ybiP b0815
yliL b0816
rybA b4416
mntR b0817
ybiR b0818
ybiS b0819
ybiT b0820
ybiU b0821
ybiV b0822
ybiW b0823
ybiY b0824
fsaA b0825
moeB b0826
moeA b0827
iaaA b0828
yliA b0829
yliB b0830
yliC b0831
yliD b0832
yliE b0833
yliF b0834
yliG b0835
yliH b0836
yliI b0837
yliJ b0838
dacC b0839
deoR b0840
ybjG b0841
cmr b0842
ybjH b0843
ybjI b0844
ybjJ b0845
ybjK b0846
rybB b4417
ybjL b0847
ybjM b0848
grxA b0849
ybjC b0850
nfsA b0851
rimK b0852
ybjN b0853
potF b0854
potG b0855
potH b0856
potI b0857
ybjO b0858
rumB b0859
artJ b0860
artM b0861
artQ b0862
artI b0863
artP b0864
ybjP b0865
ybjQ b0866
ybjR b0867
ybjS b0868
ybjT b0869
ltaE b0870
poxB b0871
hcr b0872
hcp b0873
ybjE b0874
aqpZ b0875
ybjD b0876
ybjX b0877
macA b0878
macB b0879
cspD b0880
clpS b0881
clpA b0882
serW b0883
infA b0884
aat b0885
cydC b0886
cydD b0887
trxB b0888
lrp b0889
ftsK b0890
lolA b0891
ycaJ b0892
serS b0893
dmsA b0894
dmsB b0895
dmsC b0896
ycaC b0897
ycaD b0898
ycaM b0899
ycaN b0900
ycaK b0901
pflA b0902
pflB b0903
focA b0904
ycaO b0905
ycaP b0906
serC b0907
aroA b0908
ycaL b0909
cmk b0910
rpsA b0911
ihfB b0912
ycaI b0913
msbA b0914
lpxK b0915
ycaQ b0916
ycaR b0917
kdsB b0918
ycbJ b0919
ycbC b0920
smtA b0921
mukF b0922
mukE b0923
mukB b0924
ycbB b0925
ycbK b0926
ycbL b0927
aspC b0928
ompF b0929
asnS b0930
pncB b0931
pepN b0932
ssuB b0933
ssuC b0934
ssuD b0935
ssuA b0936
ssuE b0937
ycbQ b0938
ycbR b0939
ycbS b0940
ycbT b0941
ycbU b0942
ycbV b0943
ycbF b0944
pyrD b0945
ycbW b0946
ycbX b0947
ycbY b0948
uup b0949
pqiA b0950
pqiB b0951
ymbA b0952
rmf b0953
fabA b0954
ycbZ b0955
ycbG b0956
ompA b0957
sulA b0958
yccR b0959
yccS b0960
yccF b0961
helD b0962
mgsA b0963
yccT b0964
yccU b0965
yccV b0966
yccW b0967
yccX b0968
yccK b0969
yccA b0970
serT b0971
hyaA b0972
hyaB b0973
hyaC b0974
hyaD b0975
hyaE b0976
hyaF b0977
appC b0978
appB b0979
appA b0980
yccC b0981
etp b0982
yccZ b0983
ymcA b0984
ymcB b0985
ymcC b0986
ymcD b0987
cspH b0989
cspG b0990
ymcE b0991
gnsA b4517
yccM b0992
torS b0993
torT b0994
torR b0995
torC b0996
torA b0997
torD b0998
cbpM b0999
cbpA b1000
yccE b1001
agp b1002
yccJ b1003
wrbA b1004
ymdF b4518
ycdG b1006
ycdH b1007
ycdI b1008
rarA b1009
ycdK b1010
ycdL b1011
ycdM b1012
ycdC b1013
putA b1014
putP b1015
ycdN b4490
ycdN b1017
ycdN b1016
ycdO b1018
ycdB b1019
phoH b1020
ycdP b1021
ycdQ b1022
ycdR b1023
ycdS b1024
ycdT b1025
ymdE b1028
ycdU b1029
serX b1032
ycdW b1033
ycdX b1034
ycdY b1035
ycdZ b1036
csgG b1037
csgF b1038
csgE b1039
csgD b1040
csgB b1041
csgA b1042
csgC b1043
ymdA b1044
ymdB b1045
ymdC b1046
mdoC b1047
mdoG b1048
mdoH b1049
yceK b1050
msyB b1051
mdtG b1053
lpxL b1054
yceA b1055
yceI b1056
yceJ b1057
yceO b1058
solA b1059
yceP b1060
dinI b1061
pyrC b1062
yceB b1063
grxB b1064
mdtH b1065
rimJ b1066
yceH b1067
mviM b1068
mviN b1069
flgN b1070
flgM b1071
flgA b1072
flgB b1073
flgC b1074
flgD b1075
flgE b1076
flgF b1077
flgG b1078
flgH b1079
flgI b1080
flgJ b1081
flgK b1082
flgL b1083
rne b1084
yceQ b1085
rluC b1086
yceF b1087
sraB b4418
yceD b1088
rpmF b1089
plsX b1090
fabH b1091
fabD b1092
fabG b1093
acpP b1094
fabF b1095
pabC b1096
yceG b1097
tmk b1098
holB b1099
ycfH b1100
ptsG b1101
fhuE b1102
hinT b1103
ycfL b1104
ycfM b1105
ycfN b1106
nagZ b1107
ycfP b1108
ndh b1109
ycfJ b1110
ycfQ b1111
ycfR b1112
ycfS b1113
mfd b1114
ycfT b1115
lolC b1116
lolD b1117
lolE b1118
ycfX b1119
cobB b1120
ycfZ b1121
ymfA b1122
potD b1123
potC b1124
potB b1125
potA b1126
pepT b1127
ycfD b1128
phoQ b1129
phoP b1130
purB b1131
hflD b1132
trmU b1133
ymfB b1134
ymfC b1135
icd b1136
ymfD b1137
ymfE b1138
lit b1139
intE b1140
ymfG b1141
ymfH b1142
ymfI b1143
ymfJ b1144
ymfK b1145
ymfT b1146
ymfL b1147
ymfM b1148
ymfN b1149
ymfR b1150
ymfO b1151
ymfP b1152
ymfQ b1153
ycfK b1154
ymfS b1155
tfaE b1156
stfE b1157
pin b1158
mcrA b1159
icdC b4519
elbA b1160
ycgX b1161
ycgE b1162
ycgF b1163
ycgZ b1164
ymgA b1165
ymgB b1166
ymgC b1167
ycgG b1168
ymgF b4520
ycgH b4491
ycgH b1170
ycgH b1169
ymgD b1171
ymgG b1172
ymgH b4521
ycgI b1173
minE b1174
minD b1175
minC b1176
ycgJ b1177
ycgK b1178
ycgL b1179
ycgM b1180
ycgN b1181
hlyE b1182
umuD b1183
umuC b1184
dsbB b1185
nhaB b1186
fadR b1187
ycgB b1188
dadA b1189
dadX b1190
cvrA b1191
ldcA b1192
emtA b1193
ycgR b1194
ymgE b1195
ycgY b1196
treA b1197
dhaH b1198
dhaL b1199
dhaK b1200
dhaR b1201
ycgV b1202
ychF b1203
pth b1204
ychH b1205
ychM b1206
prsA b1207
ispE b1208
lolB b1209
hemA b1210
prfA b1211
prmC b1212
ychQ b1213
ychA b1214
kdsA b1215
ldrA b4419
rdlA b4420
ldrB b4421
rdlB b4422
ldrC b4423
rdlC b4424
chaA b1216
chaB b1217
chaC b1218
ychN b1219
ychP b1220
narL b1221
narX b1222
narK b1223
narG b1224
narH b1225
narJ b1226
narI b1227
ychS b1228
rttR b4425
tpr b1229
tyrV b1230
tyrT b1231
purU b1232
ychJ b1233
rssA b1234
rssB b1235
galU b1236
hns b1237
tdk b1238
ychG b4573
ychG b1240
ychG b1239
adhE b1241
ychE b1242
oppA b1243
oppB b1244
oppC b1245
oppD b1246
oppF b1247
yciU b1248
cls b1249
kch b1250
yciI b1251
tonB b1252
yciA b1253
yciB b1254
yciC b1255
ompW b1256
yciE b1257
yciF b1258
yciG b1259
trpA b1260
trpB b1261
trpC b1262
trpD b1263
trpE b1264
trpL b1265
yciV b1266
yciO b1267
yciQ b1268
rluB b1269
btuR b1270
yciK b1271
sohB b1272
yciN b1273
topA b1274
cysB b1275
yciX b4574
yciX b4523
yciX b4522
acnA b1276
ribA b1277
pgpB b1278
yciS b1279
yciM b1280
pyrF b1281
yciH b1282
osmB b1283
yciT b1284
gmr b1285
rnb b1286
yciW b1287
fabI b1288
ycjD b1289
sapF b1290
sapD b1291
sapC b1292
sapB b1293
sapA b1294
ymjA b1295
puuP b1296
puuA b1297
puuD b1298
puuR b1299
puuC b1300
puuB b1301
puuE b1302
pspF b1303
pspA b1304
pspB b1305
pspC b1306
pspD b1307
pspE b1308
ycjM b1309
ycjN b1310
ycjO b1311
ycjP b1312
ycjQ b1313
ycjR b1314
ycjS b1315
ycjT b1316
ycjU b1317
ycjV b1318
ymjB b4524
ompG b1319
ycjW b1320
ycjX b1321
ycjF b1322
tyrR b1323
tpx b1324
ycjG b1325
mpaA b1326
ymjC b4525
ycjY b1327
ycjZ b1328
mppA b1329
ynaI b1330
ynaJ b1332
uspE b1333
fnr b1334
ogt b1335
abgT b1336
abgB b1337
abgA b1338
abgR b1339
isrA b4426
ydaL b1340
ydaM b1341
ydaN b1342
dbpA b1343
ydaO b1344
intR b1345
ydaQ b1346
ydaC b1347
lar b1348
recT b1349
recE b1350
racC b1351
ydaE b4526
kil b1352
sieB b1353
ydaF b4527
ydaG b1355
racR b1356
ydaS b1357
ydaT b1358
ydaU b1359
ydaV b1360
ydaW b1361
rzpR b1362
rzoR b4528
trkG b1363
ynaK b1365
ydaY b1366
ynaA b1368
lomR b4570
lomR b1371
lomR b1369
stfR b1372
tfaR b1373
pinR b1374
ynaE b1375
uspF b1376
ompN b1377
micC b4427
ydbK b1378
ydbJ b4529
hslJ b1379
ldhA b1380
ydbH b1381
ynbE b1382
ydbL b1383
feaR b1384
feaB b1385
tynA b1386
maoC b1387
paaA b1388
paaB b1389
paaC b1390
paaD b1391
paaE b1392
paaF b1393
paaG b1394
paaH b1395
paaI b1396
paaJ b1397
paaK b1398
paaX b1399
paaY b1400
ydbA b4492
ydbA b1405
ydbA b1401
ydbC b1406
ydbD b1407
ynbA b1408
ynbB b1409
ynbC b1410
ynbD b1411
azoR b1412
hrpA b1413
ydcF b1414
aldA b1415
gapC b4493
gapC b1417
gapC b1416
cybB b1418
ydcA b1419
hokB b4428
mokB b1420
sokB b4429
trg b1421
ydcI b1422
ydcJ b1423
mdoD b1424
ydcH b1426
rimL b1427
ydcK b1428
tehA b1429
tehB b1430
ydcL b1431
yncK b4578
yncK b4531
yncK b4530
ydcM b1432
ydcO b1433
ydcN b1434
ydcP b1435
yncJ b1436
yncN b4532
ydcQ b1438
ydcR b1439
ydcS b1440
ydcT b1441
ydcU b1442
