2 3 4 5
ECK0272 yagH yagH b0271
ECK0273 yagI yagI b0272
ECK0274 argF argF Arg5
ECK0275 yagJ yagJ b0276
ECK0276 yagK yagK b0277
ECK0277 yagL yagL b0278
ECK0278 yagM yagM b0279
ECK0279 yagN yagN b0280
ECK0280 intF intF yagO
ECK0281 yagP yagP b0282
ECK0282 yagQ yagQ b0283
ECK0283 yagR yagR b0284
ECK0284 yagS yagS b0285
ECK0285 yagT yagT b0286
ECK0286 yagU yagU b0287
ECK0287 ykgJ ykgJ b0288
ECK0288 yagV yagV b0289
ECK0289 yagW yagW b0290
ECK0290 yagX yagX b0291
ECK0291 yagY yagY b0292
ECK0292 yagZ yagZ b0293
ECK0293 ykgK ykgK b0294
ECK0294 ykgL ykgL b0295
ECK0295 ykgM ykgM b4506
ECK0296 ykgM ykgM b0296
ECK0297 eaeH eaeH b0297
ECK0298 insE insE-5 insE5
ECK0298 insE insE-4 insE4
ECK0298 insE insE-3 insE3
ECK0298 insE insE-2 insE2
ECK0298 insE insE-1 insE1
ECK0299 insF insF-5 insF5
ECK0299 insF insF-4 insF4
ECK0299 insF insF-3 insF3
ECK0299 insF insF-2 insF2
ECK0299 insF insF-1 insF1
ECK0300 ykgA ykgA b0300
ECK0301 ykgB ykgB b0301
ECK0302 ykgI ykgI b0303
ECK0303 ykgC ykgC b0304
ECK0304 ykgD ykgD b0305
ECK0305 ykgE ykgE b0306
ECK0306 ykgF ykgF b0307
ECK0307 ykgG ykgG b0308
ECK0308 ykgH ykgH b0310
ECK0309 betA betA b0311
ECK0310 betB betB b0312
ECK0311 betI betI b0313
ECK0312 betT betT b0314
ECK0313 yahA yahA b0315
ECK0314 yahB yahB b0316
ECK0315 yahC yahC b0317
ECK0316 yahD yahD b0318
ECK0317 yahE yahE b0319
ECK0318 yahF yahF b0320
ECK0319 yahG yahG b0321
ECK0320 yahH yahH b0322
ECK0321 yahI yahI b0323
ECK0322 yahJ yahJ b0324
ECK0323 yahK yahK b0325
ECK0324 yahL yahL b0326
ECK0325 yahM yahM b0327
ECK0326 yahN yahN b0328
ECK0327 yahO yahO b0329
ECK0328 prpR prpR yahP
ECK0329 prpB prpB yahQ
ECK0330 prpC prpC yahS
ECK0331 prpD prpD acnC
ECK0332 prpE prpE yahU
ECK0333 codB codB b0336
ECK0334 codA codA b0337
ECK0335 cynR cynR b0338
ECK0336 cynT cynT b0339
ECK0337 cynS cynS cnt
ECK0338 cynX cynX b0341
ECK0339 lacA lacA b0342
ECK0340 lacY lacY b0343
ECK0341 lacZ lacZ b0344
ECK0342 lacI lacI b0345
ECK0343 mhpR mhpR b0346
ECK0344 mhpA mhpA b0347
ECK0345 mhpB mhpB b0348
ECK0346 mhpC mhpC b0349
ECK0347 mhpD mhpD mhpS
ECK0348 mhpF mhpF b0351
ECK0349 mhpE mhpE b0352
ECK0350 mhpT mhpT yaiK
ECK0351 yaiL yaiL b0354
ECK0352 frmB frmB yaiM
ECK0353 frmA frmA adhC
ECK0354 frmR frmR yaiN
ECK0355 yaiO yaiO b0358
ECK0356 yaiX yaiX b0359
ECK0357 insC insC unique
ECK0357 insC insC unique
ECK0357 insC insC unique
ECK0357 insC insC unique
ECK0357 insC insC-6 yi21-6
ECK0357 insC insC-5 yi21-5
ECK0357 insC insC-4 yi21-4
ECK0357 insC insC-3 yi21-3
ECK0357 insC insC -2
ECK0357 insC insC -1
ECK0358 insD insD-3 yi22-3
ECK0358 insD insD unique
ECK0358 insD insD unique
ECK0358 insD insD unique
ECK0358 insD insD unique
ECK0358 insD insD-6 yi22-6
ECK0358 insD insD-5 yi22-5
ECK0358 insD insD-4 yi22-4
ECK0358 insD insD-2 yi22-2
ECK0358 insD insD-1 yi22-1
ECK0359 yaiF yaiF b0362
ECK0360 yaiP yaiP b0363
ECK0361 yaiS yaiS b0364
ECK0362 tauA tauA ssiA
ECK0363 tauB tauB ssiB
ECK0364 tauC tauC ssiC
ECK0365 tauD tauD ssiD
ECK0366 hemB hemB ncf
ECK0367 ykiB ykiB b0370
ECK0368 yaiT yaiT yaiU
ECK0369 yaiU yaiU yaiT
ECK0370 yaiV yaiV b0375
ECK0371 ampH ampH yaiH
ECK0372 sbmA sbmA b0377
ECK0373 yaiW yaiW b0378
ECK0374 yaiY yaiY b0379
ECK0375 yaiZ yaiZ b0380
ECK0376 ddlA ddlA b0381
ECK0377 yaiB yaiB b0382
ECK0378 phoA phoA psiA
ECK0379 psiF psiF b0384
ECK0380 yaiC yaiC b0385
ECK0381 proC proC Pro2
ECK0382 yaiI yaiI b0387
ECK0383 aroL aroL b0388
ECK0384 yaiA yaiA b0389
ECK0385 aroM aroM b0390
ECK0386 yaiE yaiE b0391
ECK0387 ykiA ykiA b0392
ECK0388 rdgC rdgC yaiD
ECK0389 mak mak yajF
ECK0390 araJ araJ araT
ECK0391 sbcC sbcC rmuA
ECK0392 sbcD sbcD yajA
ECK0393 phoB phoB phoRc
ECK0394 phoR phoR R1pho
ECK0395 brnQ brnQ hrbA
ECK0396 proY proY yajM
ECK0397 malZ malZ b0403
ECK0398 yajB yajB b0404
ECK0399 queA queA tsaA
ECK0400 tgt tgt b0406
ECK0401 yajC yajC b0407
ECK0402 secD secD b0408
ECK0403 secF secF b0409
ECK0404 yajD yajD b0410
ECK0405 tsx tsx T6rec
ECK0406 yajI yajI b0412
ECK0407 ybaD ybaD b0413
ECK0408 ribD ribD ribG
ECK0409 ribE ribE ribH
ECK0410 nusB nusB groNB
ECK0411 thiL thiL thiJ
ECK0412 pgpA pgpA yajN
ECK0413 yajO yajO b0419
ECK0414 dxs dxs yajP
ECK0415 ispA ispA b0421
ECK0416 xseB xseB yajE
ECK0417 thiI thiI nuvC
ECK0418 yajL yajL thiJ
ECK0419 panE panE apbA
ECK0420 yajQ yajQ b0426
ECK0421 yajR yajR b0427
ECK0422 cyoE cyoE b0428
ECK0423 cyoD cyoD b0429
ECK0424 cyoC cyoC b0430
ECK0425 cyoB cyoB b0431
ECK0426 cyoA cyoA b0432
ECK0427 ampG ampG b0433
ECK0428 yajG yajG b0434
ECK0429 bolA bolA b0435
ECK0430 tig tig b0436
ECK0431 clpP clpP F21.5
ECK0432 clpX clpX LopC
ECK0433 lon lon capR
ECK0434 hupB hupB dpeA
ECK0435 ppiD ppiD ybaU
ECK0436 ybaV ybaV b0442
ECK0437 ybaW ybaW b0443
ECK0438 ybaX ybaX b0444
ECK0439 ybaE ybaE b0445
ECK0440 cof cof b0446
ECK0441 ybaO ybaO b0447
ECK0442 mdlA mdlA mdl
ECK0443 mdlB mdlB mdl
ECK0444 glnK glnK ybaI
ECK0445 amtB amtB ybaG
ECK0446 tesB tesB b0452
ECK0447 ybaY ybaY b0453
ECK0448 ybaZ ybaZ b0454
ECK0449 ffs ffs b0455
ECK0450 ybaA ybaA b0456
ECK0451 ylaB ylaB b0457
ECK0452 ylaC ylaC b0458
ECK0453 maa maa mac
ECK0454 hha hha b0460
ECK0455 ybaJ ybaJ b0461
ECK0456 acrB acrB acrE
ECK0457 acrA acrA Mb
ECK0458 acrR acrR ybaH
ECK0459 kefA kefA aefA
ECK0460 ybaM ybaM b0466
ECK0461 priC priC b0467
ECK0462 ybaN ybaN b0468
ECK0463 apt apt b0469
ECK0464 dnaX dnaX dnaZ
ECK0465 ybaB ybaB b0471
ECK0466 recR recR b0472
ECK0467 htpG htpG b0473
ECK0468 adk adk dnaW
ECK0469 hemH hemH popA
ECK0470 aes aes ybaC
ECK0471 gsk gsk b0477
ECK0472 ybaL ybaL ylaA
ECK0473 fsr fsr b0479
ECK0474 ushA ushA b0480
ECK0475 ybaK ybaK b0481
ECK0476 ybaP ybaP b0482
ECK0477 ybaQ ybaQ b0483
ECK0478 copA copA ybaR
ECK0479 ybaS ybaS b0485
ECK0480 ybaT ybaT b0486
ECK0481 cueR cueR ybbI
ECK0482 ybbJ ybbJ b0488
ECK0483 ybbK ybbK b0489
ECK0484 ybbL ybbL b0490
ECK0485 ybbM ybbM b0491
ECK0486 ybbN ybbN b0492
ECK0487 ybbO ybbO b0493
ECK0488 tesA tesA apeA
ECK0489 ybbA ybbA b0495
ECK0490 ybbP ybbP b0496
ECK0491 rhsD rhsD b0497
ECK0492 ybbC ybbC b0498
ECK0493 ylbH ylbH b0499
ECK0494 ybbD ybbD b0500
ECK0495 ylbG ylbG b0502
ECK0496 ybbB ybbB b0503
ECK0497 ybbS ybbS glxA1
ECK0498 allA allA glxA2
ECK0499 allR allR gclR
ECK0500 gcl gcl b0507
ECK0501 hyi hyi gip
ECK0502 glxR glxR ybbQ
ECK0503 ybbV ybbV b0510
ECK0504 ybbW ybbW glxB2
ECK0505 allB allB glxB3
ECK0506 ybbY ybbY glxB4
ECK0507 glxK glxK ybbZ
ECK0508 ylbA ylbA glxB6
ECK0509 allC allC ylbB
ECK0510 allD allD glxB8
ECK0511 fdrA fdrA ylbD
ylbE ylbE b4572 547581
ECK0512 ylbE ylbE_1 b4507
ECK0512 ylbE ylbE_2 b0519
ECK0513 ylbF ylbF b0520
ECK0514 ybcF ybcF arcC
ECK0515 purK purK purE2
ECK0516 purE purE Pur2
ECK0517 lpxH lpxH ybbF
ECK0518 ppiB ppiB b0525
ECK0519 cysS cysS syc
ECK0520 ybcI ybcI b0527
ECK0521 ybcJ ybcJ b0528
ECK0522 folD folD ads
ECK0523 sfmA sfmA b0530
ECK0524 sfmC sfmC b0531
ECK0525 sfmD sfmD b0532
ECK0526 sfmH sfmH b0533
ECK0527 sfmF sfmF ybcG
ECK0528 fimZ fimZ ybcA
ECK0529 argU argU dnaY
ECK0530 intD intD int
ECK0531 ybcC ybcC b0539
ECK0532 ybcD ybcD b4508
ECK0533 renD renD ybcE
ECK0534 emrE emrE mvrC
ECK0535 ybcK ybcK b0544
ECK0536 ybcL ybcL b0545
ECK0537 ybcM ybcM b0546
ECK0538 ybcN ybcN b0547
ECK0539 ninE ninE b0548
ECK0540 ybcO ybcO b0549
ECK0541 rusA rusA rus
ECK0542 ylcG ylcG b4509
ECK0543 ybcQ ybcQ b0551
ECK0544 nmpC nmpC phmA
ECK0545 essD essD ybcR
ECK0546 ybcS ybcS lycV
ECK0547 rzpD rzpD ybcT
ECK0548 rzoD rzoD b4510
ECK0549 borD borD ybcU
ECK0550 ybcV ybcV b0558
ECK0551 ybcW ybcW b0559
ECK0552 nohB nohB b0560
ECK0553 tfaD tfaD yicF
ECK0554 ybcY ybcY b0562
ECK0555 ylcE ylcE b0563
ECK0556 appY appY b0564
ECK0557 ompT ompT b0565
ECK0558 envY envY b0566
ECK0559 ybcH ybcH b0567
ECK0560 nfrA nfrA b0568
ECK0561 nfrB nfrB b0569
ECK0562 cusS cusS ybcZ
ECK0563 cusR cusR ylcA
ECK0564 cusC cusC ylcB
ECK0565 cusF cusF cusX
ECK0566 cusB cusB ylcD
ECK0567 cusA cusA ybdE
ECK0568 pheP pheP b0576
ECK0569 ybdG ybdG b0577
ECK0570 nfnB nfnB nfsB
ECK0571 ybdF ybdF b0579
ECK0572 ybdJ ybdJ b0580
ECK0573 ybdK ybdK b0581
ECK0574 hokE hokE ybdY
ECK0575 entD entD b0583
ECK0576 fepA fepA cbr
ECK0577 fes fes b0585
ECK0578 ybdZ ybdZ b4511
ECK0579 entF entF b0586
ECK0580 fepE fepE b0587
ECK0581 fepC fepC b0588
ECK0582 fepG fepG b0589
ECK0583 fepD fepD ybdA
ECK0584 ybdA ybdA ybdA
ECK0585 fepB fepB b0592
ECK0586 entC entC fepF
ECK0587 entE entE b0594
ECK0588 entB entB entG
ECK0589 entA entA b0596
ECK0590 ybdB ybdB b0597
ECK0591 cstA cstA ybdC
ECK0592 ybdD ybdD b4512
ECK0593 ybdH ybdH b0599
ECK0594 ybdL ybdL b0600
ECK0595 ybdM ybdM b0601
ECK0596 ybdN ybdN b0602
ECK0597 ybdO ybdO b0603
ECK0598 dsbG dsbG ybdP
ECK0599 ahpC ahpC tpx
ECK0600 ahpF ahpF b0606
ECK0601 uspG uspG ybdQ
ECK0602 ybdR ybdR b0608
ECK0603 rnk rnk b0610
ECK0604 rna rna rnsA
ECK0605 citT citT ybdS
ECK0606 citG citG ybdT
ECK0607 citX citX ybdU
ECK0608 citF citF ybdV
ECK0609 citE citE ybdW
ECK0610 citD citD ybdX
ECK0611 citC citC ybeO
ECK0612 citA citA dpiB
ECK0613 citB citB criR
ECK0614 dcuC dcuC b0621
ECK0614 dcuC dcuC b0621
ECK0614 dcuC dcuC b0621
ECK0615 crcA crcA pagP
ECK0616 cspE cspE gicA
ECK0617 crcB crcB ybeI
ECK0618 ybeH ybeH b0625
ECK0619 ybeM ybeM b0626
ECK0620 tatE tatE ybeC
ECK0621 lipA lipA lip
ECK0622 ybeF ybeF cde
ECK0623 lipB lipB lip
ECK0624 ybeD ybeD b0631
ECK0625 dacA dacA pbp
ECK0626 rlpA rlpA b0633
ECK0627 mrdB mrdB rodA
ECK0628 mrdA mrdA pbpA
ECK0629 ybeA ybeA b0636
ECK0630 ybeB ybeB b0637
ECK0631 cobC cobC phpB
ECK0632 nadD nadD ybeN
ECK0633 holA holA b0640
ECK0634 rlpB rlpB b0641
ECK0635 leuS leuS syl
ECK0636 ybeL ybeL b0643
ECK0637 ybeQ ybeQ b0644
ECK0638 ybeR ybeR b0645
ECK0639 djlB djlB ybeS
ECK0640 ybeT ybeT b0647
ECK0641 ybeU ybeU b0648
ECK0642 djlC djlC hscD
ECK0643 hscC hscC ybeW
ECK0644 rihA rihA ybeK
ECK0645 gltL gltL b0652
ECK0646 gltK gltK b0653
ECK0647 gltJ gltJ b0654
ECK0648 gltI gltI ybeJ
ECK0649 lnt lnt cutE
ECK0650 ybeX ybeX b0658
ECK0651 ybeY ybeY b0659
ECK0652 ybeZ ybeZ phoL
ECK0653 miaB miaB yleA
ECK0654 ubiF ubiF yleB
ECK0655 glnX glnX Su2
ECK0656 glnV glnV Su2
ECK0657 metU metU metT(beta)
ECK0658 glnW glnW glnUbeta
ECK0659 glnU glnU su_B
ECK0660 leuW leuW feeB
ECK0661 metT metT metTalpha
ECK0662 asnB asnB b0674
ECK0663 nagD nagD b0675
ECK0664 nagC nagC nagR
ECK0665 nagA nagA b0677
ECK0666 nagB nagB glmD
ECK0667 nagE nagE ptsN
ECK0668 glnS glnS b0680
ECK0669 ybfM ybfM b0681
ECK0670 ybfN ybfN b0682
ECK0671 fur fur b0683
ECK0672 fldA fldA b0684
ECK0673 ybfE ybfE b0685
ECK0674 ybfF ybfF b0686
ECK0675 seqA seqA b0687
ECK0676 pgm pgm blu
ECK0677 ybfP ybfP b0689
ECK0678 ybfG ybfG ybfH
ECK0679 ybfH ybfH ybfI
ECK0680 potE potE b0692
ECK0681 speF speF b0693
ECK0682 kdpE kdpE b0694
ECK0683 kdpD kdpD kac
ECK0684 kdpC kdpC kac
ECK0685 kdpB kdpB kac
ECK0686 kdpA kdpA kac
ECK0687 kdpF kdpF b4513
ECK0688 ybfA ybfA b0699
ECK0689 rhsC rhsC b0700
ECK0690 ybfB ybfB b0702
ECK0691 ybfO ybfO b0703
ECK0692 ybfC ybfC b0704
ECK0693 ybfQ ybfQ b4514
ECK0694 ybfL ybfL b0705
ECK0695 ybfD ybfD b0706
ECK0696 ybgA ybgA tkp
ECK0697 phr phr phrB
ECK0698 ybgH ybgH b0709
ECK0699 ybgI ybgI b0710
ECK0700 ybgJ ybgJ b0711
ECK0701 ybgK ybgK b0712
ECK0702 ybgL ybgL b0713
ECK0703 nei nei b0714
ECK0704 abrB abrB ybgN
ECK0705 ybgO ybgO b0716
ECK0706 ybgP ybgP b0717
ECK0707 ybgQ ybgQ b0718
ECK0708 ybgD ybgD b0719
ECK0709 gltA gltA glut
ECK0710 sdhC sdhC cybA
ECK0711 sdhD sdhD dhsD
ECK0712 sdhA sdhA dhsA
ECK0713 sdhB sdhB dhsB
ECK0714 sucA sucA lys
ECK0715 sucB sucB lys
ECK0716 sucC sucC b0728
ECK0717 sucD sucD b0729
ECK0718 mngR mngR farR
ECK0719 mngA mngA hrsA
ECK0720 mngB mngB ybgG
ECK0721 cydA cydA cyd-1
ECK0722 cydB cydB cyd-2
ECK0723 ybgT ybgT b4515
ECK0724 ybgE ybgE b0735
ECK0725 ybgC ybgC tol-orf1
ECK0726 tolQ tolQ fii
ECK0727 tolR tolR b0738
ECK0728 tolA tolA cim
ECK0729 tolB tolB lky
ECK0730 pal pal excC
ECK0731 ybgF ybgF b0742
ECK0732 lysT lysT Su(beta)
ECK0733 valT valT valT-alpha
ECK0734 lysW lysW lysT-beta
ECK0735 valZ valZ valT-beta
ECK0736 lysY lysY lysT-gamma
ECK0737 lysZ lysZ lysT-gamma
ECK0738 lysQ lysQ b0749
ECK0739 nadA nadA nicA
ECK0740 pnuC pnuC b0751
ECK0741 zitB zitB ybgR
ECK0742 ybgS ybgS b0753
ECK0743 aroG aroG b0754
ECK0744 gpmA gpmA gpm
ECK0745 galM galM b0756
ECK0746 galK galK galA
ECK0747 galT galT galB
ECK0748 galE galE galD
ECK0749 modF modF phrA
ECK0750 modE modE modR
ECK0751 ybhT ybhT b0762
ECK0752 modA modA b0763
ECK0753 modB modB chlJ
ECK0754 modC modC chlD
ECK0755 ybhA ybhA modD
ECK0756 ybhE ybhE pgl
ECK0757 ybhD ybhD b0768
ECK0758 ybhH ybhH b0769
ECK0759 ybhI ybhI b0770
ECK0760 ybhJ ybhJ b0771
ECK0761 ybhC ybhC b0772
ECK0762 ybhB ybhB b0773
ECK0763 bioA bioA b0774
